date,close
2014/01/02,-0.8862
2014/01/03,-0.0333
2014/01/06,-0.2512
2014/01/07,0.6082
2014/01/08,-0.0212
2014/01/09,0.0348
2014/01/10,0.2307
2014/01/13,-1.2576
2014/01/14,1.0818
2014/01/15,0.5166
2014/01/16,-0.1347
2014/01/17,-0.3895
2014/01/21,0.2774
2014/01/22,0.0575
2014/01/23,-0.889
2014/01/24,-2.0875
2014/01/27,-0.4876
2014/01/28,0.6141
2014/01/29,-1.0209
2014/01/30,1.1267
2014/01/31,-0.6465
2014/02/03,-2.2832
2014/02/04,0.7641
2014/02/05,-0.2028
2014/02/06,1.244
2014/02/07,1.3302
2014/02/10,0.1569
2014/02/11,1.1062
2014/02/12,-0.0269
2014/02/13,0.581
2014/02/14,0.4809
2014/02/18,0.1158
2014/02/19,-0.6524
2014/02/20,0.6031
2014/02/21,-0.1919
2014/02/24,0.6187
2014/02/25,-0.1348
2014/02/26,0.0022
2014/02/27,0.4948
2014/02/28,0.2783
2014/03/03,-0.7379
2014/03/04,1.5268
2014/03/05,-0.0053
2014/03/06,0.1718
2014/03/07,0.0538
2014/03/10,-0.0463
2014/03/11,-0.5082
2014/03/12,0.0305
2014/03/13,-1.1701
2014/03/14,-0.2822
2014/03/17,0.9614
2014/03/18,0.722
2014/03/19,-0.6132
2014/03/20,0.6041
2014/03/21,-0.2933
2014/03/24,-0.4865
2014/03/25,0.4404
2014/03/26,-0.7
2014/03/27,-0.19
2014/03/28,0.464
2014/03/31,0.7924
2014/04/01,0.7039
2014/04/02,0.2853
2014/04/03,-0.1126
2014/04/04,-1.2537
2014/04/07,-1.075
2014/04/08,0.3751
2014/04/09,1.0918
2014/04/10,-2.0885
2014/04/11,-0.9487
2014/04/14,0.8217
2014/04/15,0.6757
2014/04/16,1.0488
2014/04/17,0.1364
2014/04/21,0.3775
2014/04/22,0.4092
2014/04/23,-0.2213
2014/04/24,0.1717
2014/04/25,-0.8096
2014/04/28,0.3236
2014/04/29,0.4761
2014/04/30,0.2992
2014/05/01,-0.0143
2014/05/02,-0.1348
2014/05/05,0.1871
2014/05/06,-0.8988
2014/05/07,0.5616
2014/05/08,-0.1374
2014/05/09,0.1519
2014/05/12,0.9673
2014/05/13,0.0422
2014/05/14,-0.4701
2014/05/15,-0.9362
2014/05/16,0.3747
2014/05/19,0.3845
2014/05/20,-0.6498
2014/05/21,0.8116
2014/05/22,0.2362
2014/05/23,0.4248
2014/05/27,0.5988
2014/05/28,-0.1114
2014/05/29,0.5367
2014/05/30,0.1844
2014/06/02,0.0728
2014/06/03,-0.0379
2014/06/04,0.1892
2014/06/05,0.6525
2014/06/06,0.4628
2014/06/09,0.0939
2014/06/10,-0.0246
2014/06/11,-0.3537
2014/06/12,-0.7089
2014/06/13,0.3135
2014/06/16,0.0837
2014/06/17,0.2173
2014/06/18,0.7719
2014/06/19,0.1277
2014/06/20,0.173
2014/06/23,-0.0132
2014/06/24,-0.6435
2014/06/25,0.4897
2014/06/26,-0.1179
2014/06/27,0.1911
2014/06/30,-0.0372
2014/07/01,0.6678
2014/07/02,0.0659
2014/07/03,0.548
2014/07/07,-0.3924
2014/07/08,-0.7049
2014/07/09,0.4644
2014/07/10,-0.4131
2014/07/11,0.1471
2014/07/14,0.4844
2014/07/15,-0.1932
2014/07/16,0.4201
2014/07/17,-1.1834
2014/07/18,1.0265
2014/07/21,-0.232
2014/07/22,0.5016
2014/07/23,0.1754
2014/07/24,0.0488
2014/07/25,-0.4849
2014/07/28,0.0288
2014/07/29,-0.4528
2014/07/30,0.0061
2014/07/31,-1.9999
2014/08/01,-0.2859
2014/08/04,0.7189
2014/08/05,-0.9685
2014/08/06,0.0016
2014/08/07,-0.5557
2014/08/08,1.1531
2014/08/11,0.2759
2014/08/12,-0.1637
2014/08/13,0.6707
2014/08/14,0.4346
2014/08/15,-0.0061
2014/08/18,0.8532
2014/08/19,0.5001
2014/08/20,0.2478
2014/08/21,0.295
2014/08/22,-0.1993
2014/08/25,0.4788
2014/08/26,0.1051
2014/08/27,0.005
2014/08/28,-0.169
2014/08/29,0.332
2014/09/02,-0.0544
2014/09/03,-0.0779
2014/09/04,-0.1534
2014/09/05,0.5036
2014/09/08,-0.3073
2014/09/09,-0.6545
2014/09/10,0.3646
2014/09/11,0.0882
2014/09/12,-0.5963
2014/09/15,-0.071
2014/09/16,0.7484
2014/09/17,0.1296
2014/09/18,0.4891
2014/09/19,-0.0477
2014/09/22,-0.8013
2014/09/23,-0.5776
2014/09/24,0.7832
2014/09/25,-1.6169
2014/09/26,0.8576
2014/09/29,-0.2547
2014/09/30,-0.2786
2014/10/01,-1.3249
2014/10/02,0.0005
2014/10/03,1.1166
2014/10/06,-0.1565
2014/10/07,-1.5126
2014/10/08,1.7462
2014/10/09,-2.0661
2014/10/10,-1.1451
2014/10/13,-1.6468
2014/10/14,0.1579
2014/10/15,-0.81
2014/10/16,0.0145
2014/10/17,1.2884
2014/10/20,0.9143
2014/10/21,1.9574
2014/10/22,-0.7299
2014/10/23,1.2303
2014/10/24,0.7053
2014/10/27,-0.1502
2014/10/28,1.1939
2014/10/29,-0.1385
2014/10/30,0.623
2014/10/31,1.1731
2014/11/03,-0.0119
2014/11/04,-0.283
2014/11/05,0.5701
2014/11/06,0.3776
2014/11/07,0.035
2014/11/10,0.312
2014/11/11,0.0697
2014/11/12,-0.0701
2014/11/13,0.053
2014/11/14,0.024
2014/11/17,0.0735
2014/11/18,0.5134
2014/11/19,-0.1501
2014/11/20,0.1967
2014/11/21,0.5237
2014/11/24,0.2864
2014/11/25,-0.115
2014/11/26,0.2806
2014/11/28,-0.2542
2014/12/01,-0.6829
2014/12/02,0.6384
2014/12/03,0.3765
2014/12/04,-0.1162
2014/12/05,0.1665
2014/12/08,-0.7257
2014/12/09,-0.0238
2014/12/10,-1.6351
2014/12/11,0.4536
2014/12/12,-1.6214
2014/12/15,-0.6343
2014/12/16,-0.8489
2014/12/17,2.0352
2014/12/18,2.4015
2014/12/19,0.457
2014/12/22,0.381
2014/12/23,0.1746
2014/12/24,-0.0139
2014/12/26,0.331
2014/12/29,0.0862
2014/12/30,-0.4889
2014/12/31,-1.0311
